"HHINCOME","FAMSIZE","NCHILD","YNGCH","SEX","AGE","MARST","RACE","RACED","SPEAKENG","RACWHT","EDUC","EDUCD","EMPSTAT","EMPSTATD","CLASSWKR","CLASSWKRD","OCC","WKSWORK1","UHRSWORK","WORKEDYR","INCWAGE","OCCSCORE","VETDISAB","PWSTATE2","PWCOUNTY"
72600,2,0,99,2,32,1,1,100,3,2,10,101,1,10,2,22,5740,52,40,3,31700,22,0,39,17
136400,4,2,4,2,34,1,1,100,3,2,8,81,1,10,2,22,3300,52,24,3,26400,25,0,39,61
30000,2,1,5,1,28,6,1,100,3,2,6,63,1,10,2,22,9620,52,40,3,30000,20,0,39,17
22600,2,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,9620,2,25,3,5000,20,0,39,61
42000,3,2,8,1,33,6,1,100,3,2,8,81,1,10,2,22,5630,52,56,3,42000,25,0,39,61
41000,2,0,99,1,29,6,1,100,3,2,6,65,1,10,2,22,4850,50,50,3,30000,24,0,39,61
98000,4,2,9,2,35,1,1,100,3,2,6,63,1,10,2,22,5400,52,16,3,17000,25,0,39,61
189100,7,0,99,2,25,6,1,100,3,2,7,71,1,10,2,23,3110,52,40,3,42000,21,0,39,61
39500,2,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,8990,52,40,3,30000,23,0,39,0
104900,3,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,9600,24,9,3,8600,23,0,39,61
105600,3,1,12,2,35,6,1,100,3,2,8,81,1,10,2,22,800,52,90,3,48000,38,0,39,0
120000,4,2,0,1,35,1,1,100,3,2,8,81,1,10,2,22,5240,52,40,3,80000,25,0,39,61
120000,4,2,0,2,29,1,1,100,3,2,10,101,1,10,2,22,3255,52,37,3,40000,21,0,39,61
128830,2,0,99,2,27,1,1,100,3,2,8,81,1,10,2,22,9050,52,49,3,38000,19,0,39,113
87000,2,0,99,1,27,6,1,100,3,2,6,63,1,10,1,13,6220,52,40,3,0,29,0,39,17
34000,1,0,99,2,25,6,8,812,3,2,10,101,1,10,2,23,2006,52,30,3,22000,33,0,39,0
94000,5,2,0,1,26,1,1,100,3,2,6,63,1,10,2,22,7730,52,40,3,40000,23,0,39,61
27000,1,0,99,1,31,6,1,100,3,2,10,101,1,10,2,22,4710,52,40,3,27000,42,0,39,61
117000,4,2,3,2,26,1,1,100,3,2,6,63,1,10,2,22,7750,52,50,3,48000,23,0,39,0
43700,2,0,99,1,25,1,1,100,3,2,8,81,1,10,2,22,1410,52,40,3,18000,46,0,39,17
87000,2,0,99,2,35,6,1,100,3,2,10,101,1,10,2,23,3255,52,38,3,50000,21,0,39,61
120000,4,2,9,1,34,1,2,200,3,1,7,71,1,10,2,22,9645,52,40,3,44000,25,4,39,113
102000,2,0,99,2,32,1,1,100,3,2,10,101,1,10,2,22,3255,52,36,3,60000,21,0,39,61
80300,4,2,11,2,34,1,1,100,3,2,8,81,1,10,2,22,3255,36,40,3,30000,21,0,39,61
148700,4,2,3,2,33,1,1,100,3,2,11,114,1,10,2,23,3255,52,65,3,105000,21,0,39,17
148700,4,2,3,1,33,1,1,100,3,2,11,114,1,10,2,28,565,52,40,3,40000,37,0,39,61
70000,1,0,99,2,31,6,1,100,3,2,10,101,1,10,2,22,4850,52,40,3,40000,24,0,39,61
70000,3,1,8,1,34,1,1,100,3,2,7,71,1,10,2,22,7330,52,40,3,60000,30,0,39,17
44000,1,0,99,2,28,4,1,100,3,2,7,71,1,10,2,22,4700,52,40,3,29000,42,3,39,61
528000,7,5,3,2,31,1,1,100,3,2,3,30,1,10,2,22,8640,52,60,3,64000,23,0,39,61
10800,4,2,5,1,34,1,1,100,3,2,6,63,1,10,1,14,440,36,35,3,5400,42,0,39,61
40000,7,5,0,1,34,1,1,100,4,2,6,64,1,10,2,22,6260,52,50,3,40000,20,0,39,0
58900,3,1,4,2,25,1,1,100,3,2,7,71,1,10,2,22,3603,52,50,3,26700,16,0,39,35
120300,5,3,1,1,34,1,1,100,3,2,7,71,1,10,2,22,4850,52,50,3,120000,24,0,39,153
